context,question,answer_start,text,wiki_context,search
"Architecturally, the school has a Catholic character. Atop the Main Building's gold dome is a golden statue of the Virgin Mary. Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes"". Next to the Main Building is the Basilica of the Sacred Heart. Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection. It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858. At the end of the main drive (and in a direct line that connects through 3 statues and the Gold Dome), is a simple, modern stone statue of Mary.",To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,515,Saint Bernadette Soubirous,"Our Lady of Lourdes is a Roman Catholic title of the Blessed Virgin Mary venerated in honour of the Marian apparitions that reportedly occurred in 1858 in the vicinity of Lourdes in France.  The first of these is the apparition of 11 February 1858, when 14-year old Bernadette Soubirous told her mother that a ""lady"" spoke to her in the cave of Massabielle (a kilometre and a half (1 mi) from the town) while she was gathering firewood with her sister and a friend. Similar apparitions of the ""Lady"" were reported on seventeen occasions that year, until the climax revelation of Our Lady of the Immaculate Conception took place.In 18 January 1862, Pope Pius IX authorized Bishop Bertrand-Sévère Laurence to permit the veneration of the Blessed Virgin Mary in Lourdes. On 3 July 1876, the same Pontiff officially granted a Canonical Coronation to the image that used to be in the courtyard of what is now part of the Rosary Basilica. The image of Our Lady of Lourdes has been widely copied and reproduced in shrines and homes, often in garden landscapes. Soubirous was later canonized as a Catholic saint.",Virgin Mary Lourdes France 
"Architecturally, the school has a Catholic character. Atop the Main Building's gold dome is a golden statue of the Virgin Mary. Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes"". Next to the Main Building is the Basilica of the Sacred Heart. Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection. It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858. At the end of the main drive (and in a direct line that connects through 3 statues and the Gold Dome), is a simple, modern stone statue of Mary.",What is in front of the Notre Dame Main Building?,188,a copper statue of Christ,"University of Notre Dame's Main Administration Building (known as the Main Building or the ""Golden Dome"") houses various administrative offices, including the Office of the President. Atop of the building stands the Golden Dome, the most recognizable landmark of the University. Three buildings were built at the site; the first was built in 1843 and replaced with a larger one in 1865, which burned down in 1879, after which the third and current building was erected. The building hosts the administrative offices of the University, as well as classrooms, art collections,  and exhibition spaces. The building is listed on the national register of historic places.",front Notre Dame Main Building 
"Architecturally, the school has a Catholic character. Atop the Main Building's gold dome is a golden statue of the Virgin Mary. Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes"". Next to the Main Building is the Basilica of the Sacred Heart. Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection. It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858. At the end of the main drive (and in a direct line that connects through 3 statues and the Gold Dome), is a simple, modern stone statue of Mary.",The Basilica of the Sacred heart at Notre Dame is beside to which structure?,279,the Main Building,"The Basilica of the Sacred Heart in Notre Dame, Indiana, USA, is a Roman Catholic church on the campus of the University of Notre Dame, also serving as the mother church of the Congregation of Holy Cross (C.S.C.) in the United States. The neo-gothic church has 44 large stained glass windows and murals completed over a 17-year period by the Vatican painter Luigi Gregori. The basilica bell tower is 230 feet (70 m) high, making it the tallest University chapel in America. It is a contributing building in Notre Dame's historic district listed on the National Register of Historic Places.",Basilica Sacred heart Notre Dame structure 
"Architecturally, the school has a Catholic character. Atop the Main Building's gold dome is a golden statue of the Virgin Mary. Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes"". Next to the Main Building is the Basilica of the Sacred Heart. Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection. It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858. At the end of the main drive (and in a direct line that connects through 3 statues and the Gold Dome), is a simple, modern stone statue of Mary.",What is the Grotto at Notre Dame?,381,a Marian place of prayer and reflection,The Grotto of Our Lady of Lourdes is located at the University of Notre Dame and is reproduction of the Grotto of Our Lady of Lourdes.,Grotto Notre Dame 
"Architecturally, the school has a Catholic character. Atop the Main Building's gold dome is a golden statue of the Virgin Mary. Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes"". Next to the Main Building is the Basilica of the Sacred Heart. Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection. It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858. At the end of the main drive (and in a direct line that connects through 3 statues and the Gold Dome), is a simple, modern stone statue of Mary.",What sits on top of the Main Building at Notre Dame?,92,a golden statue of the Virgin Mary,"University of Notre Dame's Main Administration Building (known as the Main Building or the ""Golden Dome"") houses various administrative offices, including the Office of the President. Atop of the building stands the Golden Dome, the most recognizable landmark of the University. Three buildings were built at the site; the first was built in 1843 and replaced with a larger one in 1865, which burned down in 1879, after which the third and current building was erected. The building hosts the administrative offices of the University, as well as classrooms, art collections,  and exhibition spaces. The building is listed on the national register of historic places.",top Main Building Notre Dame 
"As at most other universities, Notre Dame's students run a number of news media outlets. The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals. Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States. The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork. The Dome yearbook is published annually. The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College. Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University. In 1987, when some students believed that The Observer began to show a conservative bias, a liberal newspaper, Common Sense was published. Likewise, in 2003, when other students believed that the paper showed a liberal bias, the conservative paper Irish Rover went into production. Neither paper is published as often as The Observer; however, all three are distributed to all students. Finally, in Spring 2008 an undergraduate journal for political science research, Beyond Politics, made its debut.",When did the Scholastic Magazine of Notre dame begin publishing?,248,September 1876,"The Notre Dame Fighting Irish football team is the intercollegiate football team representing the University of Notre Dame in Notre Dame, Indiana. The team is currently coached by Brian Kelly and plays its home games at the campus's Notre Dame Stadium, which has a capacity of 77,622. Notre Dame is one of six schools that competes as an Independent at the National Collegiate Athletic Association (NCAA) Football Bowl Subdivision level; however, they play five games a year against opponents from the Atlantic Coast Conference (ACC), which Notre Dame is a member of in all other sports except ice hockey.Notre Dame is one of the most iconic and successful programs in college football. The school claims 11 national championships, but the NCAA recognizes the school with 13.
Moreover, Notre Dame has 21 national championships recognized by all major selectors; this is tied with Alabama for the most in the FBS. Notre Dame and Ohio State share the record of seven Heisman Trophy winners, but Notre Dame leads Ohio State by the number of individual winners. Notre Dame has produced 101 consensus All-Americans, 34 unanimous All-Americans, 52 members of the College Football Hall of Fame, and 13 members of the NFL Hall of Fame, all NCAA records. Notre Dame has had 495 players selected in the NFL Draft, second only to USC.All Notre Dame home games have been televised by NBC since 1991, and Notre Dame is the only school to have such a contract. It was the only independent program to be part of the Bowl Championship Series coalition and its guaranteed payout, and it has one of the largest, most widespread fan bases in college football. These factors help make Notre Dame one of the most financially valuable football programs in the country, which allows the school to remain an independent.",Scholastic Magazine Notre dame begin 
"As at most other universities, Notre Dame's students run a number of news media outlets. The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals. Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States. The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork. The Dome yearbook is published annually. The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College. Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University. In 1987, when some students believed that The Observer began to show a conservative bias, a liberal newspaper, Common Sense was published. Likewise, in 2003, when other students believed that the paper showed a liberal bias, the conservative paper Irish Rover went into production. Neither paper is published as often as The Observer; however, all three are distributed to all students. Finally, in Spring 2008 an undergraduate journal for political science research, Beyond Politics, made its debut.",How often is Notre Dame's the Juggler published?,441,twice,"The University of Notre Dame du Lac (or simply Notre Dame  NOH-tər-DAYM or ND) is a private, non-profit Catholic research university in the community of Notre Dame, Indiana, near the city of South Bend, in the United States. The main campus covers 1,250 acres (510 ha) in a suburban setting and it contains a number of recognizable landmarks, such as the Golden Dome, the ""Word of Life"" mural (commonly known as Touchdown Jesus), the Notre Dame Stadium, and the Basilica. The school was founded on November 26, 1842, by Father Edward Sorin, CSC, who was also its first president.
Notre Dame is consistently recognized as one of the top universities in the United States, in particular for its undergraduate education. Undergraduate students are organized into six colleges, Arts and Letters, Science, Engineering, Business, Architecture and Global Affairs. The School of Architecture is known for teaching New Classical Architecture and for awarding the globally renowned annual Driehaus Architecture Prize. The university offers over 50 foreign study abroad yearlong programs and over 15 summer programs. Notre Dame's graduate program has more than 50 master, doctoral and professional degree programs offered by the five schools, with the addition of the Notre Dame Law School and a MD-PhD program offered in combination with the Indiana University School of Medicine. It maintains a system of libraries, cultural venues, artistic and scientific museums, including the Hesburgh Library and the Snite Museum of Art. The majority of the university's 8,000 undergraduates live on campus in one of 31 residence halls, each with its own traditions, legacies, events, and intramural sports teams. The university counts approximately 134,000 alumni, considered among the strongest alumni networks among U.S. colleges.The university's athletic teams are members of the NCAA Division I and are known collectively as the Fighting Irish. Notre Dame is known for its football team, which contributed to its rise to prominence on the national stage in the early 20th century; the team an Independent with no conference affiliation, has accumulated eleven consensus national championships, seven Heisman Trophy winners, 62 members in the College Football Hall of Fame, and 13 members in the Pro Football Hall of Fame. Other ND sport teams, chiefly in the Atlantic Coast Conference, have accumulated 17 national championships. The Notre Dame Victory March is often regarded as one of the most famous and recognizable collegiate fight songs.
Started as a small all-male institution in 1842 and charter in 1844, Notre Dame reached international fame at the beginning of the 20th century, aided by the success of its football team under the guidance of coach Knute Rockne. Major improvements to the university occurred during the administration of the Rev. Theodore Hesburgh between 1952 and 1987 as Hesburgh's administration greatly increased the university's resources, academic programs, and reputation and first enrolled women undergraduates in 1972. Ever since, the University has seen steady growth, and under the leadership of the next two presidents, Rev. Malloy and Rev. Jenkins, many infrastructure and research expansions have been completed. Notre Dame's growth has continued in the 21st century, and it currently possesses one of the largest endowments of any U.S. university, at $13.1 billion.",Notre Dame Juggler 
"As at most other universities, Notre Dame's students run a number of news media outlets. The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals. Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States. The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork. The Dome yearbook is published annually. The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College. Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University. In 1987, when some students believed that The Observer began to show a conservative bias, a liberal newspaper, Common Sense was published. Likewise, in 2003, when other students believed that the paper showed a liberal bias, the conservative paper Irish Rover went into production. Neither paper is published as often as The Observer; however, all three are distributed to all students. Finally, in Spring 2008 an undergraduate journal for political science research, Beyond Politics, made its debut.",What is the daily student paper at Notre Dame called?,598,The Observer,"The Notre Dame Fighting Irish football team is the intercollegiate football team representing the University of Notre Dame in Notre Dame, Indiana. The team is currently coached by Brian Kelly and plays its home games at the campus's Notre Dame Stadium, which has a capacity of 77,622. Notre Dame is one of six schools that competes as an Independent at the National Collegiate Athletic Association (NCAA) Football Bowl Subdivision level; however, they play five games a year against opponents from the Atlantic Coast Conference (ACC), which Notre Dame is a member of in all other sports except ice hockey.Notre Dame is one of the most iconic and successful programs in college football. The school claims 11 national championships, but the NCAA recognizes the school with 13.
Moreover, Notre Dame has 21 national championships recognized by all major selectors; this is tied with Alabama for the most in the FBS. Notre Dame and Ohio State share the record of seven Heisman Trophy winners, but Notre Dame leads Ohio State by the number of individual winners. Notre Dame has produced 101 consensus All-Americans, 34 unanimous All-Americans, 52 members of the College Football Hall of Fame, and 13 members of the NFL Hall of Fame, all NCAA records. Notre Dame has had 495 players selected in the NFL Draft, second only to USC.All Notre Dame home games have been televised by NBC since 1991, and Notre Dame is the only school to have such a contract. It was the only independent program to be part of the Bowl Championship Series coalition and its guaranteed payout, and it has one of the largest, most widespread fan bases in college football. These factors help make Notre Dame one of the most financially valuable football programs in the country, which allows the school to remain an independent.",student paper Notre Dame 
"As at most other universities, Notre Dame's students run a number of news media outlets. The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals. Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States. The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork. The Dome yearbook is published annually. The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College. Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University. In 1987, when some students believed that The Observer began to show a conservative bias, a liberal newspaper, Common Sense was published. Likewise, in 2003, when other students believed that the paper showed a liberal bias, the conservative paper Irish Rover went into production. Neither paper is published as often as The Observer; however, all three are distributed to all students. Finally, in Spring 2008 an undergraduate journal for political science research, Beyond Politics, made its debut.",How many student news papers are found at Notre Dame?,126,three,"The Michigan–Notre Dame football rivalry is an American college football rivalry between the Michigan Wolverines and Notre Dame Fighting Irish.
Michigan football and Notre Dame football are considered to be among the most elite college programs. Michigan ranks #1 in all-time win percentage and all-time wins, while Notre Dame ranks #4 in all-time win percentage and #6 in all-time wins after receiving NCAA sanctions for a cheating scandal. The rivalry is heightened by the two schools' competition for all-time win percentage, which each has held during their history, as well as national championships, with each school claiming 11 titles while the NCAA recognizes 13 Notre Dame titles and 9 Michigan titles. Moreover, both schools are renowned for their Heisman Trophy winners (7 for Notre Dame and 3 for Michigan), consensus All-Americans (101 for Notre Dame and 82 for Michigan), College Football Hall of Fame members (52 for Notre Dame and 36 for Michigan), and NFL draft picks (495 for Notre Dame and 362 for Michigan).Michigan is a member of the Big Ten Conference while Notre Dame football is independent. In 2013, Notre Dame joined the Atlantic Coast Conference in all sports except football and hockey, though the football team has played five ACC opponents each season since 2014. Notre Dame and Michigan reached a mutual agreement to suspend the series for the 2018 and 2019 football season. Notre Dame then decided to cancel the 2015 through 2017 games, citing the need to play ACC games. It was announced that after a three-year hiatus, the series will resume in 2018 and 2019.",student news papers Notre Dame 
"As at most other universities, Notre Dame's students run a number of news media outlets. The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals. Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States. The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork. The Dome yearbook is published annually. The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College. Unlike Scholastic and The Dome, The Observer is an independent publication and does not have a faculty advisor or any editorial oversight from the University. In 1987, when some students believed that The Observer began to show a conservative bias, a liberal newspaper, Common Sense was published. Likewise, in 2003, when other students believed that the paper showed a liberal bias, the conservative paper Irish Rover went into production. Neither paper is published as often as The Observer; however, all three are distributed to all students. Finally, in Spring 2008 an undergraduate journal for political science research, Beyond Politics, made its debut.",In what year did the student paper Common Sense begin publication at Notre Dame?,908,1987,"The University of Notre Dame du Lac (or simply Notre Dame  NOH-tər-DAYM or ND) is a private, non-profit Catholic research university in the community of Notre Dame, Indiana, near the city of South Bend, in the United States. The main campus covers 1,250 acres (510 ha) in a suburban setting and it contains a number of recognizable landmarks, such as the Golden Dome, the ""Word of Life"" mural (commonly known as Touchdown Jesus), the Notre Dame Stadium, and the Basilica. The school was founded on November 26, 1842, by Father Edward Sorin, CSC, who was also its first president.
Notre Dame is consistently recognized as one of the top universities in the United States, in particular for its undergraduate education. Undergraduate students are organized into six colleges, Arts and Letters, Science, Engineering, Business, Architecture and Global Affairs. The School of Architecture is known for teaching New Classical Architecture and for awarding the globally renowned annual Driehaus Architecture Prize. The university offers over 50 foreign study abroad yearlong programs and over 15 summer programs. Notre Dame's graduate program has more than 50 master, doctoral and professional degree programs offered by the five schools, with the addition of the Notre Dame Law School and a MD-PhD program offered in combination with the Indiana University School of Medicine. It maintains a system of libraries, cultural venues, artistic and scientific museums, including the Hesburgh Library and the Snite Museum of Art. The majority of the university's 8,000 undergraduates live on campus in one of 31 residence halls, each with its own traditions, legacies, events, and intramural sports teams. The university counts approximately 134,000 alumni, considered among the strongest alumni networks among U.S. colleges.The university's athletic teams are members of the NCAA Division I and are known collectively as the Fighting Irish. Notre Dame is known for its football team, which contributed to its rise to prominence on the national stage in the early 20th century; the team an Independent with no conference affiliation, has accumulated eleven consensus national championships, seven Heisman Trophy winners, 62 members in the College Football Hall of Fame, and 13 members in the Pro Football Hall of Fame. Other ND sport teams, chiefly in the Atlantic Coast Conference, have accumulated 17 national championships. The Notre Dame Victory March is often regarded as one of the most famous and recognizable collegiate fight songs.
Started as a small all-male institution in 1842 and charter in 1844, Notre Dame reached international fame at the beginning of the 20th century, aided by the success of its football team under the guidance of coach Knute Rockne. Major improvements to the university occurred during the administration of the Rev. Theodore Hesburgh between 1952 and 1987 as Hesburgh's administration greatly increased the university's resources, academic programs, and reputation and first enrolled women undergraduates in 1972. Ever since, the University has seen steady growth, and under the leadership of the next two presidents, Rev. Malloy and Rev. Jenkins, many infrastructure and research expansions have been completed. Notre Dame's growth has continued in the 21st century, and it currently possesses one of the largest endowments of any U.S. university, at $13.1 billion.",year student paper Common Sense publication Notre Dame 
